Record file Pathname: c:\Users\PRODUCTION\Desktop\mesure ballant.txt
Start acquisition date: 03-23-2020 17:46:49
Sirrah working mode: PC7V MM1 EC10 DD384 DG505 DM505
Mode diagnostique: 0
Comment:

;Status B1;Date B1;Energie B1;Pulse B1;Theta B1;Phi B1;Theta' B1;Phi' B1;;Status B2;Date B2;Energie B2;Pulse B2;Theta B2;Phi B2;Theta' B2;Phi' B2;;Status B3;Date B3;Energie B3;Pulse B3;Theta B3;Phi B3;Theta' B3;Phi' B3;
;00;349927509;197;3;0.129;-0.290;0.001;-0.292;8c;349927511;0;0;0.000;0.000;0.000;0.000;8c;349927516;0;0;0.000;0.000;0.000;0.000;
;00;349927709;197;3;0.130;-0.360;-0.004;-0.151;8c;349927711;0;0;0.000;0.000;0.000;0.000;8c;349927716;0;0;0.000;0.000;0.000;0.000;
;00;349927909;197;3;0.132;-0.453;0.000;-0.296;8c;349927911;0;0;0.000;0.000;0.000;0.000;8c;349927916;0;0;0.000;0.000;0.000;0.000;
;00;349928109;197;3;0.128;-0.269;-0.004;0.034;8c;349928111;0;0;0.000;0.000;0.000;0.000;8c;349928116;0;0;0.000;0.000;0.000;0.000;
;00;349928309;197;3;0.128;-0.201;-0.003;0.175;8c;349928311;0;0;0.000;0.000;0.000;0.000;8c;349928316;0;0;0.000;0.000;0.000;0.000;
;00;349928509;197;3;0.123;-0.127;-0.014;0.514;8c;349928511;0;0;0.000;0.000;0.000;0.000;8c;349928516;0;0;0.000;0.000;0.000;0.000;
;00;349928709;197;3;0.125;-0.101;-0.004;0.298;8c;349928711;0;0;0.000;0.000;0.000;0.000;8c;349928716;0;0;0.000;0.000;0.000;0.000;
;00;349928909;197;3;0.127;-0.041;0.000;0.257;8c;349928911;0;0;0.000;0.000;0.000;0.000;8c;349928916;0;0;0.000;0.000;0.000;0.000;
;00;349929109;197;3;0.128;-0.032;0.003;0.150;8c;349929111;0;0;0.000;0.000;0.000;0.000;8c;349929116;0;0;0.000;0.000;0.000;0.000;
;00;349929309;197;3;0.123;-0.027;-0.001;0.115;8c;349929311;0;0;0.000;0.000;0.000;0.000;8c;349929316;0;0;0.000;0.000;0.000;0.000;
;00;349929509;197;3;0.121;-0.017;-0.001;0.031;8c;349929511;0;0;0.000;0.000;0.000;0.000;8c;349929516;0;0;0.000;0.000;0.000;0.000;
;00;349929709;197;3;0.124;-0.017;0.003;0.023;8c;349929711;0;0;0.000;0.000;0.000;0.000;8c;349929716;0;0;0.000;0.000;0.000;0.000;
